IP:Port,Type,Latency,Location
85.132.37.9:1313,http,1.06s,85.132.37.9 (Baku, Azerbaijan)
47.250.51.110:8888,http,3.6s,47.250.51.110 (Kuala Lumpur, Malaysia)
116.80.65.82:3172,http,2.58s,116.80.65.82 (Kita, Japan)
185.76.240.229:10001,http,0.74s,185.76.240.229 (Moscow, Russia)
58.241.88.13:800,http,1.09s,58.241.88.13 (Changzhou, China)
39.102.213.50:80,http,5.15s,39.102.213.50 (Beijing, China)
185.76.240.99:10001,http,2.58s,185.76.240.99 (Moscow, Russia)
58.216.109.8:800,http,1.4s,58.216.109.8 (Nanjing, China)
47.91.120.190:9200,http,2.51s,47.91.120.190 (Dubai, United Arab Emirates)
185.135.69.34:80,http,0.63s,185.135.69.34 (Al Mansour, Iraq)
222.213.85.99:9002,http,2.79s,222.213.85.99 (Deyang, China)
4.213.98.253:80,http,0.77s,4.213.98.253 (Pune, India)
8.215.12.103:82,http,2.18s,8.215.12.103 (Jakarta, Indonesia)
23.247.136.254:80,http,4.85s,23.247.136.254 (San Jose, United States)
8.215.3.250:104,http,2.49s,8.215.3.250 (Jakarta, Indonesia)
39.102.214.208:8443,http,3.19s,39.102.214.208 (Beijing, China)
58.241.88.17:800,http,2.02s,58.241.88.17 (Changzhou, China)
39.104.27.89:8080,http,7.1s,39.104.27.89 (Beijing, China)
183.215.23.242:9091,http,1.8s,183.215.23.242 (Qingyuan, China)
163.227.248.17:8181,http,3.16s,163.227.248.17 (Sukabumi, Indonesia)
8.138.149.37:8443,http,3.28s,8.138.149.37 (Guangzhou, China)
203.175.103.3:3125,http,1.18s,203.175.103.3 (Cikananga, Indonesia)
197.221.234.252:80,http,3.19s,Unknown
149.129.226.9:8443,http,3.2s,149.129.226.9 (Jakarta, Indonesia)
91.132.92.150:80,http,0.61s,91.132.92.150 (Brøndby Strand, Denmark)
8.138.125.130:8080,http,5.22s,8.138.125.130 (Guangzhou, China)
35.180.127.14:1001,http,0.76s,35.180.127.14 (Paris, France)
8.215.3.250:7777,http,2.12s,8.215.3.250 (Jakarta, Indonesia)
83.219.250.8:62920,http,0.82s,83.219.250.8 (Stockholm, Sweden)
47.109.83.196:8888,http,5.85s,None
12.50.107.222:80,http,0.8s,None
194.176.185.191:80,http,1.49s,None
47.237.92.86:88,http,2.37s,None
58.216.109.13:800,http,1.66s,None
37.79.248.25:80,http,2.63s,None
147.161.210.140:8800,http,1.19s,None
79.110.200.148:8081,http,0.62s,None
109.236.88.82:80,http,0.81s,None
45.88.0.115:3128,http,8.41s,45.88.0.115 (Warsaw, Poland)
185.76.241.152:10001,http,2.26s,185.76.241.152 (Mayachnaya, Russia)
185.76.240.239:10001,http,2.61s,185.76.240.239 (Moscow, Russia)
23.88.88.105:443,http,2.34s,23.88.88.105 (Nuremberg, Germany)
221.231.13.198:1080,http,0.94s,221.231.13.198 (Nanjing, China)
8.220.141.8:8080,http,2.34s,8.220.141.8 (Manila, Philippines)
143.208.57.59:8080,http,6.22s,143.208.57.59 (Guatemala City, Guatemala)
140.246.125.194:9099,http,1.29s,140.246.125.194 (Jinan, China)
193.43.159.200:80,http,0.78s,193.43.159.200 (Al Mulayḩah, Syria)
39.102.208.23:9080,http,4.3s,39.102.208.23 (Beijing, China)
45.167.125.21:999,http,1.16s,45.167.125.21 (Popayán, Colombia)
150.107.140.238:3128,http,7.16s,150.107.140.238 (Caringin, Indonesia)
109.107.179.140:31000,http,3.93s,109.107.179.140 (Amsterdam, The Netherlands)
156.38.112.11:80,http,5.25s,156.38.112.11 (Cape Coast, Ghana)
40.89.145.14:80,http,0.67s,40.89.145.14 (Paris, France)
185.76.240.143:10001,http,0.79s,185.76.240.143 (Moscow, Russia)
197.221.240.178:80,http,6.05s,197.221.240.178 (Harare, Zimbabwe)
13.230.49.39:8080,http,0.29s,13.230.49.39 (Tokyo, Japan)
39.104.57.33:20002,http,3.53s,39.104.57.33 (Beijing, China)
97.74.87.226:80,http,0.82s,97.74.87.226 (Singapore, Singapore)
221.153.92.39:80,http,1.13s,221.153.92.39 (Songpa-gu, South Korea)
